Name,Link,Category,Location,Description,Tags,Programs,Who They Serve,Neighborhood,Impact,Themes,Age Group,Volunteer Friendly
Chicago Children's Advocacy Center,https://www.chicagocac.org/,Youth Development,"Chicago, IL","The Chicago Children's Advocacy Center (ChicagoCAC) provides a child-friendly environment for the investigation and treatment of child abuse. They coordinate a multidisciplinary team approach to child abuse cases, providing forensic interviews, medical exams, mental health services, and family support. Their model reduces trauma for child abuse victims by consolidating services in one safe location.","child abuse, child advocacy, forensic interviews, mental health, family support, trauma-informed, Chicago, youth","Forensic Interviews; Medical Examinations; Mental Health Services; Family Support; Multidisciplinary Team Coordination; Prevention Education","Child abuse victims and their families in Chicago",citywide,Serves 2000+ child abuse victims annually with trauma-informed care,"safe spaces, mental health, public health, youth empowerment, community building",youth,no
Chicago Community Bond Fund,https://chicagobond.org/,Criminal Justice,"Chicago, IL","The Chicago Community Bond Fund pays bond for people who cannot afford to pay their own, working to end the use of money bond in Illinois. They believe that freedom before trial should not depend on wealth, and they organize alongside people directly impacted by the criminal legal system. Their work combines direct bond payment with systemic advocacy for criminal justice reform.","criminal justice, money bond, pretrial freedom, advocacy, racial equity, systemic change, Chicago, incarceration","Bond Payment; Community Organizing; Policy Advocacy; Know Your Rights Education; Reentry Support","People who cannot afford bond in Cook County; communities impacted by the criminal legal system",citywide,Has paid bond for hundreds of people and helped pass the Pretrial Fairness Act in Illinois,"systemic change, community building, economic mobility, housing stability",adults,yes
Preservation Chicago,https://preservationchicago.org/,Arts & Culture,"Chicago, IL","Preservation Chicago is a nonprofit advocacy organization dedicated to protecting and preserving Chicago's historic architecture and neighborhoods. They publish an annual list of Chicago's 7 Most Endangered Buildings to raise awareness and mobilize action. Their work ensures that the city's architectural heritage is maintained for future generations.","historic preservation, architecture, advocacy, neighborhoods, Chicago, cultural heritage, community, landmarks","Chicago 7 Most Endangered Buildings List; Advocacy Campaigns; Educational Programs; Community Engagement; Architectural Tours","Chicago residents, architects, historians, and community members interested in historic preservation",citywide,Has saved dozens of historic Chicago buildings from demolition through advocacy campaigns,"community building, systemic change, education access",all ages,yes
Chicago Run,https://www.chicagorun.org/,Youth Development,"Chicago, IL","Chicago Run is a nonprofit that uses running to improve the health and well-being of Chicago youth. They provide free running programs in Chicago Public Schools and community centers, teaching students that physical activity is a lifelong tool for health and happiness. Their programs also incorporate social-emotional learning and goal-setting.","running, youth health, physical activity, Chicago Public Schools, wellness, social-emotional learning, community, youth","School Running Programs; Community Running Clubs; Chicago Marathon Training; Youth Races; Teacher Training","Youth in Chicago Public Schools and community centers; emphasis on underserved neighborhoods",citywide,Serves 5000+ youth annually across Chicago Public Schools with free running programs,"youth empowerment, education access, community building, public health",youth,yes
Metropolitan Family Services,https://www.metrofamilyservices.org/,Mental Health,"Chicago, IL","Metropolitan Family Services empowers Chicago families to reach their greatest potential by providing mental health, education, economic empowerment, and violence prevention services. They have been serving Chicago families for over 175 years, operating across multiple service centers throughout the city. Their holistic approach addresses the full range of challenges facing urban families.","mental health, family services, education, economic empowerment, violence prevention, Chicago, community, wraparound","Mental Health Counseling; Early Childhood Education; Economic Empowerment Programs; Violence Prevention; Senior Services; Disability Services; Legal Aid","Children, adults, seniors, and families across Chicago; emphasis on underserved communities",citywide,Serves 60000+ individuals annually across Chicago with comprehensive family services,"mental health, education access, economic mobility, community building, basic needs, public health",all ages,yes
Enlace Chicago,https://www.enlacechicago.org/,Youth Development,"Chicago, IL - Little Village","Enlace Chicago is a community organization in Little Village dedicated to building community power and improving the quality of life for residents. They work on violence prevention, youth development, and community organizing to address the root causes of poverty and inequality. Their approach centers the voices and leadership of Little Village residents.","Little Village, community organizing, violence prevention, youth development, Latino community, Chicago, empowerment, advocacy","Violence Prevention Programs; Youth Development; Community Organizing; Workforce Development; Health Programs; Immigration Services","Residents of Little Village and the broader Southwest Side; Latino community",Little Village,Has organized thousands of Little Village residents to advocate for community improvements and violence prevention,"community building, systemic change, youth empowerment, workforce development, immigrant support",all ages,yes
Lawndale Christian Health Center,https://lawndale.org/,Mental Health,"Chicago, IL - North Lawndale","Lawndale Christian Health Center provides comprehensive, affordable healthcare to the residents of North Lawndale and surrounding communities. They offer primary care, behavioral health, dental, vision, and specialty services with a mission rooted in Christian values of compassion and service. They are one of the largest federally qualified health centers in Illinois.","healthcare, primary care, behavioral health, North Lawndale, affordable, community health, Chicago, Christian","Primary Care; Behavioral Health; Dental Services; Vision Care; Specialty Services; Women's Health; Pediatrics; Pharmacy","Residents of North Lawndale and surrounding communities; uninsured and underinsured patients","North Lawndale",Serves 50000+ patients annually as one of Illinois' largest federally qualified health centers,"public health, mental health, community building, basic needs",all ages,yes
Chicago Scholars,https://www.chicagoscholars.org/,Education,"Chicago, IL","Chicago Scholars empowers first-generation college students from underserved Chicago communities to graduate from college and launch meaningful careers. They provide a comprehensive support system including college counseling, mentorship, scholarships, and career development. Their scholars are selected in high school and supported through college graduation and into the workforce.","first-generation college students, education, mentorship, scholarships, career development, Chicago, underserved, youth","College Counseling; Mentorship Program; Scholarship Support; Career Development; Alumni Network; College Success Coaching","First-generation college students from underserved Chicago communities",citywide,90%+ of Chicago Scholars students graduate from college compared to a 50% national average for first-gen students,"education access, mentorship, economic mobility, youth empowerment, workforce development",youth,yes
Lurie Children's Hospital Foundation,https://www.luriechildrens.org/,Mental Health,"Chicago, IL - Streeterville","Ann & Robert H. Lurie Children's Hospital of Chicago is one of the nation's top children's hospitals, providing exceptional care for children with the most complex conditions. The hospital's foundation supports research, education, and community health programs that improve the lives of children across Chicago and beyond. They are consistently ranked among the best children's hospitals in the U.S.","children's health, pediatrics, research, education, community health, Chicago, hospital, innovation","Pediatric Medical Care; Research Programs; Community Health Programs; Education & Training; Mental Health Services; Advocacy","Children and families across Chicago and the broader region; emphasis on complex and underserved cases",Streeterville,Ranked among top 10 children's hospitals in the U.S. and serves hundreds of thousands of patients annually,"public health, mental health, community building, education access",youth,no
Easterseals Chicagoland,https://www.easterseals.com/chicagoland/,Mental Health,"Chicago, IL","Easterseals Chicagoland provides exceptional services, education, outreach, and advocacy for people with disabilities and their families. They offer a wide range of programs including early intervention, autism services, employment support, and adult day services. Their mission is to ensure that people with disabilities have equal opportunities to live, learn, work, and play.","disability services, autism, early intervention, employment, adults, children, Chicago, advocacy","Early Intervention; Autism Services; Employment Services; Adult Day Services; Respite Care; Assistive Technology; Advocacy","Children and adults with disabilities and their families in the Chicago area",citywide,Serves thousands of individuals with disabilities annually across the Chicagoland area,"education access, workforce development, community building, mental health, public health",all ages,no
Chicago Legal Clinic,https://www.clclaw.org/,Criminal Justice,"Chicago, IL - South Side","Chicago Legal Clinic provides free and low-cost legal services to low-income residents of Chicago's South and Southeast Sides. They handle cases in family law, housing, immigration, criminal defense, and more, ensuring that low-income residents have access to justice. They also offer community legal education to help residents understand their rights.","legal aid, low-income, South Side, housing, immigration, family law, criminal defense, Chicago","Family Law Services; Housing Legal Aid; Immigration Services; Criminal Defense; Community Legal Education; Expungement Clinics","Low-income residents of Chicago's South and Southeast Sides","South Side, Southeast Side",Provides free legal services to thousands of low-income residents annually on Chicago's South Side,"systemic change, community building, housing stability, immigrant support, economic mobility",all ages,no
Mikva Challenge,https://www.mikvachallenge.org/,Youth Development,"Chicago, IL","Mikva Challenge develops youth to be informed, active, and powerful citizens and community leaders. They run civic engagement programs in Chicago Public Schools that teach students about democracy, advocacy, and community organizing. Their programs have trained thousands of young people to participate in elections, advocate for policy change, and lead in their communities.","civic engagement, youth, democracy, advocacy, community organizing, Chicago, education, leadership","Issue Area Campaigns; Internship Programs; Action Civics; Election Programs; Youth-Led Advocacy; Leadership Development","Youth in Chicago Public Schools; emphasis on underserved communities",citywide,Has engaged 150000+ young people in civic action since founding,"youth empowerment, education access, systemic change, community building",youth,yes
Illinois Humanities,https://www.ilhumanities.org/,Arts & Culture,"Chicago, IL","Illinois Humanities connects people to ideas that matter through public programs, grants, and partnerships across Illinois. They support humanities-based projects that foster civic dialogue, cultural understanding, and community engagement. Their programs reach communities across the state, with a strong presence in Chicago neighborhoods.","humanities, arts, culture, civic dialogue, grants, community, Chicago, Illinois","Public Programs; Grantmaking; Partnerships; Civic Dialogue Events; Community Storytelling; Cultural Programs","Illinois residents; community organizations; educators; artists and humanists",citywide,Funds hundreds of humanities projects annually across Illinois reaching tens of thousands of participants,"community building, education access, systemic change",all ages,yes
Respiratory Health Association,https://resphealth.org/,Mental Health,"Chicago, IL","The Respiratory Health Association has been fighting lung disease and promoting clean air in the Chicago region for over 100 years. They fund research, provide education, and advocate for policies that protect lung health and reduce air pollution. Their programs address asthma, COPD, lung cancer, and the environmental factors that contribute to respiratory disease.","lung health, asthma, air quality, advocacy, research, education, Chicago, environment","Lung Health Research Funding; Asthma Education Programs; Air Quality Advocacy; COPD Programs; Lung Cancer Awareness; Community Health Education","Individuals with respiratory conditions; communities affected by air pollution in Chicago",citywide,Has funded $30 million+ in lung disease research and advocacy over its 100+ year history,"public health, environmental justice, systemic change, community building",all ages,no
